model_type,seed,question,importance
xgboost,2,question_f025_religious_denomination__major_groups_choice3.0,1.0222708
xgboost,2,question_f034_religious_person,0.8753876
xgboost,2,question_f144_02_justifiable__death_penalty,0.6885219
xgboost,2,question_f120_justifiable__abortion,0.6437149
xgboost,2,question_f063_how_important_is_god_in_your_life,0.6378234
xgboost,2,question_a065_member__belong_to_religious_organization,0.6071726
xgboost,2,question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud,0.5206098
xgboost,2,question_d081_homosexual_couples_are_as_good_parents_as_other_couples,0.5018727
xgboost,2,question_e069_06_confidence__the_police,0.4500834
xgboost,2,question_e028_political_action__joining_unofficial_strikes,0.44855693
xgboost,2,question_e037_government_responsibility,0.44316116
xgboost,2,question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled,0.41814926
xgboost,2,question_e227_democracy__people_receive_state_aid_for_unemployment,0.41050097
xgboost,2,question_e069_04_confidence__the_press,0.39948064
xgboost,2,question_e069_11_confidence__the_government,0.3955516
xgboost,2,question_e233b_democracy__people_obey_their_rulers,0.38272768
xgboost,2,question_f053_believe_in__hell,0.3733882
xgboost,2,question_f025_religious_denomination__major_groups_choice7.0,0.3617192
xgboost,2,question_a006_important_in_life__religion,0.34285027
xgboost,2,question_a004_important_in_life__politics,0.33847782
xgboost,2,question_e025_political_action__signing_a_petition,0.33343217
xgboost,2,question_e035_income_equality,0.33286095
xgboost,2,question_a170_satisfaction_with_your_life,0.32733276
xgboost,2,question_g007_36_b_trust__people_of_another_nationality__b,0.31549263
xgboost,2,question_e265_04_how_often_in_country’s_elections__voters_are_bribed,0.30947322
xgboost,2,question_f028_how_often_do_you_attend_religious_services,0.3069317
xgboost,2,question_a002_important_in_life__friends,0.29080257
xgboost,2,question_e015_future_changes__less_importance_placed_on_work,0.28829762
xgboost,2,question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls,0.28116143
xgboost,2,question_c002_01_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__5_point_scale,0.27429104
xgboost,2,question_f054_believe_in__heaven,0.2711274
xgboost,2,question_e265_07_how_often_in_country’s_election__rich_people_buy_elections,0.2636342
xgboost,2,question_e265_02_how_often_in_country’s_elections__opposition_candidates_are_prevented_from_running,0.26073897
