model_type,seed,question,importance
xgboost,6,question_f025_religious_denomination__major_groups_choice3.0,1.0496837
xgboost,6,question_f034_religious_person,0.86462957
xgboost,6,question_f144_02_justifiable__death_penalty,0.70676017
xgboost,6,question_f120_justifiable__abortion,0.6760002
xgboost,6,question_f063_how_important_is_god_in_your_life,0.62616324
xgboost,6,question_a065_member__belong_to_religious_organization,0.6216709
xgboost,6,question_d081_homosexual_couples_are_as_good_parents_as_other_couples,0.51977086
xgboost,6,question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud,0.51497036
xgboost,6,question_e037_government_responsibility,0.4604036
xgboost,6,question_e028_political_action__joining_unofficial_strikes,0.43444073
xgboost,6,question_e069_06_confidence__the_police,0.4314291
xgboost,6,question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled,0.4054994
xgboost,6,question_e227_democracy__people_receive_state_aid_for_unemployment,0.40136576
xgboost,6,question_e069_11_confidence__the_government,0.38950175
xgboost,6,question_e069_04_confidence__the_press,0.36696303
xgboost,6,question_f028_how_often_do_you_attend_religious_services,0.36231706
xgboost,6,question_f025_religious_denomination__major_groups_choice7.0,0.35329896
xgboost,6,question_f053_believe_in__hell,0.341686
xgboost,6,question_e025_political_action__signing_a_petition,0.33915725
xgboost,6,question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls,0.33908612
xgboost,6,question_e233b_democracy__people_obey_their_rulers,0.33322042
xgboost,6,question_g007_36_b_trust__people_of_another_nationality__b,0.3301556
xgboost,6,question_e035_income_equality,0.32581934
xgboost,6,question_a006_important_in_life__religion,0.31973934
xgboost,6,question_a170_satisfaction_with_your_life,0.31276304
xgboost,6,question_a004_important_in_life__politics,0.30968523
xgboost,6,question_a002_important_in_life__friends,0.28887624
xgboost,6,question_e233_democracy__women_have_the_same_rights_as_men,0.28228784
xgboost,6,question_e015_future_changes__less_importance_placed_on_work,0.27985695
xgboost,6,question_e264_vote_in_elections__national_level_choice1.0,0.2782268
xgboost,6,question_c002_01_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__5_point_scale,0.2753518
xgboost,6,question_e265_04_how_often_in_country’s_elections__voters_are_bribed,0.2732445
xgboost,6,question_e236_democraticness_in_own_country,0.27060446
xgboost,6,question_f119_justifiable__prostitution,0.26947528
xgboost,6,question_a173_how_much_freedom_of_choice_and_control,0.26606476
xgboost,6,question_e265_07_how_often_in_country’s_election__rich_people_buy_elections,0.26365983
