most_important_features
question_e003_aims_of_respondent__first_choice_choice1.0: 0.4817 (Europe: 0.36756134684634517, non-Europe: 0.4179202868933511)
question_e263_vote_in_elections__local_level_choice3.0: 0.3896 (Europe: 0.11039338703889322, non-Europe: 0.17743615436338944)
question_e003_aims_of_respondent__first_choice_choice2.0: 0.3890 (Europe: 0.2295108339211246, non-Europe: 0.22529566100175352)
question_e264_vote_in_elections__national_level_choice3.0: 0.3529 (Europe: 0.09920679115466954, non-Europe: 0.14839083945310955)
question_a078_member__belong_to_consumer_groups: 0.2450 (Europe: 0.03659155313014317, non-Europe: 0.12846915500942688)
question_e025_political_action__signing_a_petition: 0.2398 (Europe: 0.45505562361559687, non-Europe: 0.6227602937492583)
question_a080_02_member__belong_to_self_help_group_mutual_aid_group: 0.2331 (Europe: 0.04170224350645333, non-Europe: 0.1744432871438554)
question_f120_justifiable__abortion: 0.2299 (Europe: 0.46683688551751057, non-Europe: 0.24466066921272794)
question_d026_03_duty_towards_society_to_have_children: 0.2115 (Europe: 0.5509738773186819, non-Europe: 0.407880338048967)
question_e116_political_system__having_the_army_rule: 0.2059 (Europe: 0.7964427285064326, non-Europe: 0.6344966401659482)
question_c041_work_should_come_first_even_if_it_means_less_spare_time: 0.2008 (Europe: 0.45503087450965835, non-Europe: 0.35853758223792637)
question_a080_01_member__belong_to_humanitarian_or_charitable_organization: 0.1980 (Europe: 0.10430510697801042, non-Europe: 0.2028557490737933)
question_a072_member__belong_to_professional_associations: 0.1976 (Europe: 0.08670849265570281, non-Europe: 0.1864279404590821)
question_d054_one_of_main_goals_in_life_has_been_to_make_my_parents_proud: 0.1924 (Europe: 0.36575878696382097, non-Europe: 0.19595589366312008)
question_a071_member__belong_to_conservation_the_environment_ecology_animal_rights: 0.1897 (Europe: 0.07072057021940083, non-Europe: 0.15336137223621238)
question_f132_justifiable__having_casual_sex: 0.1888 (Europe: 0.3621357928444835, non-Europe: 0.23831456015985394)
question_e225_democracy__religious_authorities_interpret_the_laws: 0.1784 (Europe: 0.2957641905186176, non-Europe: 0.4372671298798897)
question_e114_political_system__having_a_strong_leader: 0.1781 (Europe: 0.613736578766092, non-Europe: 0.48748137698260974)
question_e026_political_action__joining_in_boycotts: 0.1758 (Europe: 0.7159668856962542, non-Europe: 0.7793848141653592)
question_d060_university_is_more_important_for_a_boy_than_for_a_girl: 0.1750 (Europe: 0.7739127924003745, non-Europe: 0.6491313653363571)
question_a068_member__belong_to_political_parties: 0.1737 (Europe: 0.059694843523777706, non-Europe: 0.16761374873099794)
question_e228_democracy__the_army_takes_over_when_government_is_incompetent: 0.1684 (Europe: 0.36204848349853364, non-Europe: 0.4953010666209606)
question_g007_36_b_trust__people_of_another_nationality__b: 0.1638 (Europe: 0.4838986441614796, non-Europe: 0.6156297106895021)
