most_important_features
question_a078_member__belong_to_consumer_groups: 0.2450 (Europe: 0.03659155313014317, non-Europe: 0.12846915500942688)
question_f120_justifiable__abortion: 0.2299 (Europe: 0.46683688551751057, non-Europe: 0.24466066921272794)
question_a080_02_member__belong_to_self_help_group_mutual_aid_group: 0.2331 (Europe: 0.04170224350645333, non-Europe: 0.1744432871438554)
question_d060_university_is_more_important_for_a_boy_than_for_a_girl: 0.1750 (Europe: 0.7739127924003745, non-Europe: 0.6491313653363571)
question_e116_political_system__having_the_army_rule: 0.2059 (Europe: 0.7964427285064326, non-Europe: 0.6344966401659482)
question_e025_political_action__signing_a_petition: 0.2398 (Europe: 0.45505562361559687, non-Europe: 0.6227602937492583)
question_e225_democracy__religious_authorities_interpret_the_laws: 0.1784 (Europe: 0.2957641905186176, non-Europe: 0.4372671298798897)
question_e265_08_how_often_in_country’s_elections__voters_are_threatened_with_violence_at_the_polls: 0.1466 (Europe: 0.8270697471053859, non-Europe: 0.6609314365323172)
question_f132_justifiable__having_casual_sex: 0.1888 (Europe: 0.3621357928444835, non-Europe: 0.23831456015985394)
question_a068_member__belong_to_political_parties: 0.1737 (Europe: 0.059694843523777706, non-Europe: 0.16761374873099794)
question_g007_36_b_trust__people_of_another_nationality__b: 0.1638 (Europe: 0.4838986441614796, non-Europe: 0.6156297106895021)
question_e265_04_how_often_in_country’s_elections__voters_are_bribed: 0.1218 (Europe: 0.6072646875631619, non-Europe: 0.46715536980148636)
question_e265_02_how_often_in_country’s_elections__opposition_candidates_are_prevented_from_running: 0.1064 (Europe: 0.7154306550675856, non-Europe: 0.5884082429100691)
question_h010_government_has_the_right__monitor_all_e_mails_and_any_other_information_exchanged_on_the_internet: 0.1524 (Europe: 0.7280568239472349, non-Europe: 0.6005818731569257)
question_a072_member__belong_to_professional_associations: 0.1976 (Europe: 0.08670849265570281, non-Europe: 0.1864279404590821)
question_g007_33_b_trust__people_you_know_personally__b: 0.1160 (Europe: 0.2763608914627959, non-Europe: 0.3680215873183294)
question_f114a_justifiable__claiming_government_benefits_to_which_you_are_not_entitled: 0.0915 (Europe: 0.13564984964918142, non-Europe: 0.23747661593588265)
question_a065_member__belong_to_religious_organization: 0.1464 (Europe: 0.20083899469131677, non-Europe: 0.4053291494719633)
question_e012_willingness_to_fight_for_country: 0.1364 (Europe: 0.6437242454616326, non-Europe: 0.7269503078566061)
question_f117_justifiable__someone_accepting_a_bribe: 0.0778 (Europe: 0.07231001280078758, non-Europe: 0.11095143292857113)
question_a005_important_in_life__work: 0.0894 (Europe: 0.21217821006216153, non-Europe: 0.16620740877468237)
question_c002_jobs_scarce__employers_should_give_priority_to__nation__people_than_immigrants__3_categories_choice3.0: 0.0647 (Europe: 0.15661234237913155, non-Europe: 0.11778976096615555)
question_e290_justifiable__political_violence: 0.0515 (Europe: 0.07556452023170662, non-Europe: 0.11517191773497232)
question_e233a_democracy__the_state_makes_people's_incomes_equal: 0.0831 (Europe: 0.5890831693705064, non-Europe: 0.5928751301963162)
question_e028_political_action__joining_unofficial_strikes: 0.1177 (Europe: 0.7974038187870464, non-Europe: 0.7820612548947222)
